Fund Name,Amount Raised $M USD,Date announced and or Raised,Year Raised,Fund Number,Location,Notes
32,True Wealth Ventures,$35,6/27/2022,2022,II,Austin,https://techcrunch.com/2022/06/27/austin-true-wealth-ventures-raises-second-fund-female-women-startups-founders-entrepreneurs/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubGlua2VkaW4uY29tLw&guce_referrer_sig=AQAAALFo8IWrxnyhlKiEVVpgizAmIeGfX8AiQY-LwNT64pOjLj-P1Cak0D7hsUohznnQ1kWdBor6OFHdBmypRHwQZzCg4wvSIDbkqKofw7X29tVLKbcedXIMpK5xx2lKaPWvBbyZOcaiIHS9aYGqbKi_aMYu8spQqgP2sbsyJt4IXYYc
33,Shine Capital,$200,6/2/2022,2022,II,NYC,
34,Exceptional Capital,$30,6/2/2022,2022,I,Miami,https://www.forbes.com/sites/rebeccaszkutak/2022/02/15/solo-black-gp-marell-evans-launches-exceptional-capital-to-focus-on-b2b-software/?sh=4041ab2a58e4
35,Canonical Ventures,$20,6/2/2022,2022,I,Bay Area,https://techcrunch.com/2022/06/02/microsoft-web3-solo-gp-venture-fund-backs-crypto-developer-tools-infrastructure/
36,Great North Ventures,$40,5/23/2022,2022,II,Minneapolis,https://greatnorthventures.com/great-north-ventures-raises-40-million-fund-ii/
37,GreenPoint Partners,$134,5/19/2022,2022,I,NYC,https://www.prnewswire.com/news-releases/greenpoint-announces-global-platform-investing-at-the-intersection-of-real-assets-technology-and-sustainability-301550252.html?tc=eml_cleartime
38,Tusk Ventures,$140,5/17/2022,2022,III,NYC,
39,6th Man Ventures,$145,5/12/2022,2022,II,NYC,https://www.coindesk.com/business/2022/05/12/6th-man-ventures-raises-145m-for-crypto-fund-report/
40,Chingona Ventures,$53,5/6/2022,2022,II,Chicago,https://techcrunch.com/2022/05/06/chingona-ventures-lands-52m-to-fund-overlooked-founders-in-massive-markets/
41,Valia Ventures,$50,5/5/2022,2022,II,NYC,https://techcrunch.com/2022/05/05/meet-valia-an-early-stage-vc-firm-backed-by-tiger-that-wants-to-back-founders-who-are-breaking-the-mold/
42,Bull City Venture Partners,$50,5/4/2022,2022,IV,"Durahm, North Carolina",https://techcrunch.com/2022/05/04/bull-city-venture-partners-is-the-opposite-of-flashy-and-its-backers-approve/
43,Hetz Ventures,$123,5/3/2022,2022,III,Israel,https://techcrunch.com/2022/05/03/hetz-ventures-closes-third-fund-of-123m-to-focus-on-devops-tools-open-source-fintech-and-cyber/
44,January Ventures,$21,4/29/2022,2022,II,Boston and London,https://techcrunch.com/2022/04/28/january-ventures-fund-3-early-stage/
45,Expa,$200,4/1/2022,2022,III,"SF, NYC",https://www.expa.com/news/200m
46,Freesytle,$130,3/31/2022,2022,VI,Bay Area,
47,SteelSky Ventures,$72,3/23/2022,2022,I,Atlanta,https://femtechinsider.com/steelsky-ventures-fund-i/
48,Serena Ventures,$111,3/1/2022,2022,I,S. Florida,
49,186 Ventures,$37,2/28/2022,2022,I,Boston,https://www.bizjournals.com/boston/news/2022/02/28/heres-how-two-draftkings-alumni-came-to-launch-18.html
50,SRB Ventures,$10,2/25/2022,2022,I,NYC,
51,Better Tomorrow Ventures,$150,2/16/2022,2022,II,Bay Area,https://techcrunch.com/2022/02/15/better-tomorrow-ventures-closes-on-225m-fintech-focused-fund-which-is-triple-the-size-of-its-last-fund/?guccounter=1&guce_referrer=aHR0cHM6Ly90LmNvLw&guce_referrer_sig=AQAAAC2Eo_zTEvHK9ao-bglbuJAdvI8KQjaDpt7zN8wvCGrWDivyMVn2wBpMNxryMSmmdWJm6EB5iW0cHfc0Hdr4hcTwy_XMCUk275ImDk3YiuKsfa3aiwvhV4dLWqokp6rpANrMVzkMPreTYfQiDMvqbJNeCv69WQcwmU5Mg2vFNdh7
52,Burnt Island Ventrues,$30,2/11/2022,2022,I,NYC,https://www.forbes.com/sites/rebeccaszkutak/2022/02/17/burnt-island-ventures-raises-30-million-for-early-stage-water-startups/?sh=1710b56044f5
53,NOEMIS Ventures,$24,2/4/2022,2022,I,NYC,
54,Collider Ventures,$100,1/28/2022,2022,II,Israel,
55,2048 Ventures,$67,1/18/2022,2022,II,NYC,
56,Wonder Ventures,$31,1/13/2022,2022,III,LA,
57,TMV,$64,1/11/2022,2022,II,NYC,
58,Not Boring Capital,$30,1/10/2022,2022,II,NYC,
59,USV Climate Fund,$162,1/8/2021,2021,I,NYC,https://www.usv.com/writing/2021/01/usv-climate-fund/
60,1982 Ventures,$13,12/25/2021,2021,I,Singapore,https://aithority.com/technology/financial-services/singapore-1982-ventures-raises-us12-5million-in-the-first-close-of-seed-fund/
61,Crossbeam Venture Partners,$70,12/20/2021,2021,II,NYC,
62,Chapter One,$50,12/15/2021,2021,II,,https://mirror.xyz/chapterone.eth/vRrTabwSY_0z5GqPF5piVGIdUuHIPtv41v5VIZKl848
63,Script Capital,$38,12/13/2021,2021,II,,
64,Fifty Years,$90,10/28/2021,2021,III,Bay Area,
65,"Sino Global Capital, Liquid Value Fund",$200,10/25/2021,2021,I,China,
66,Variant,$110,10/19/2021,2021,II,NYC,https://variant.fund/writing/fund-ii-announcement
67,8-Bit Capital,$40,10/19/2021,2021,I,Bay Area,https://techcrunch.com/2021/10/04/8-bit-capital-co-led-by-jonathan-abrams-has-closed-its-first-fund-with-40-million/
68,Patron,$90,10/19/2021,2021,I,LA,https://patron.xyz/
69,500 Global,$140,9/17/2021,2021,,Global,
70,Gateway Capital,$14,8/9/2021,2021,I,"Milwaukee, WI",https://www.bizjournals.com/milwaukee/inno/stories/news/2021/08/09/gateway-capital-fund-close-13-5-m.html
71,Techstars,$150,8/6/2021,2021,,Multiple cities,https://www.techstars.com/newsroom/techstars-closes-oversubscribed-usd150m-fund-to-support-accelerators-high?_hsenc=p2ANqtz-_3xacgGF8-QmlN-z3lXaFIJDXmgepAFn3wrgOpmOUije4150ZQrPEGaBvPgalqvulPHjSsxn-KF6Ae6RFNMAtrZsJGR6LTTMTM6fedIIpkogHsNAU&_hsmi=146337128&utm_campaign=Techstars%20TSA%202021%20Announcement%20to%20investors&utm_content=146333637&utm_medium=email&utm_source=hs_email
72,Stage 2 Capital,$80,8/6/2021,2021,II,Multiple cities,
73,Work-Bench,$100,8/4/2021,2021,III,NYC,
74,True Beauty,$42,7/30/2021,2021,I,NYC,https://www.prnewswire.com/news-releases/true-beauty-ventures-raises-debut-fund-in-excess-of-42-million-backed-by-beauty-founders-and-executives-to-grow-emerging-beauty-and-wellness-brands-301344829.html?tc=eml_cleartime
75,Aperature,$75,7/27/2021,2021,I,"NYC, LA, Philly",https://www.prnewswire.com/news-releases/aperture-venture-capital-closes-first-round-of-75m-corporate-diversity-fund-301337448.html
76,Ocean Azul,$40,7/23/2021,2021,II,Miami,https://www.refreshmiami.com/ocean-azul-closes-fund-2-at-over-40-million-with-a-south-florida-commitment/
77,Moxxie Ventures,$85,7/19/2021,2021,II,,https://moxxie.substack.com/p/moxxie2
78,Vine Ventures,$50,7/13/2021,2021,I,NYC,https://ericreinervine.medium.com/vine-ventures-i-lp-2f52279eca57
79,Female Founders Fund,$57,7/13/2021,2021,I,NYC,
80,Zeal Capital Partners,$62,7/12/2021,2021,I,Washington D.C.,
81,Not Boring Capital,$8,7/12/2021,2021,I,NYC,https://www.notboring.co/p/introducing-not-boring-capital
82,H Ventures Partners,$10,7/8/2021,2021,I,"Cincinnati, Oho",https://techcrunch.com/2021/07/08/h-venture-partners-closes-10m-debut-fund-targeting-science-based-brands/
83,Stellation Capital,$40,78/2021,2021,I,NYC,https://techcrunch.com/2021/07/08/peter-boyce-stellation-capital/
84,Renegade Partners,$100,7/7/2021,2021,I,Bay Area,
85,Acrylic,$55,7/7/2021,2021,I,NYC,https://medium.com/@acrylic_/announcing-acrylic-c17878bc897
86,ATX Ventures,$150,7/5/2021,2021,III,"Austin, Texas",https://www.bizjournals.com/austin/news/2021/06/30/atx-venture-partners-150m-fund.html
87,MAGIC Fund,$30,7/6/2021,2021,II,"Bay Area, Miami",https://techcrunch.com/2021/07/06/magic-fund-raises-30m-to-scale-its-global-founders-backing-founders-fund/?guccounter=1
88,Comeback Capital,$12,7/1/2021,2021,II,Ohio,
89,Infity Ventures,$158,6/30/2021,2021,I,"Bay Area, NYC",https://www.businesswire.com/news/home/20220516005165/en/Infinity-Ventures-Launches-Inaugural-158-Million-Fund-Dedicated-to-Global-Fintech-Investing
90,Dynamo Ventures,$43,6/24/2021,2021,II,"Chattanooga, Tennessee",
91,Ubiquity Ventures,$50,6/23/2021,2021,II,Bay Area,
92,Golden Ventures,$100,6/23/2021,2021,IV,"Toronto, Canada",
93,MetaProp,$100,6/22/2021,2021,III,NYC,
94,Commerce Ventures,$150,6/18/2021,2021,IV,Bay Area,
95,20VC,$33,6/16/2021,2021,II,"London, UK",
96,Seven Seven Six,$150,6/10/2021,2021,I,"Miami, Florida",
97,Version One,$70,6/8/2021,2021,IV,"Bay Area, Canada",https://techcrunch.com/2021/06/08/version-one-launches-70m-fund-iv-and-30m-opportunities-fund-ii/
98,Brooklyn Bridge Ventures,$15,6/8/2021,2021,I,NYC,https://www.brooklynbridge.vc/bbv-raises-third-fund/
99,Firstminute Capital,$160,6/4/2021,2021,II,"London, UK",
100,Refactor Capital,$50,6/3/2021,2021,III,Bay Area,
101,Collab Capital,$50,5/26/2021,2021,I,Atlanta,https://medium.com/capital-innovation/collab-capital-closes-50m-first-fund-to-invest-in-black-innovators-22896db11ae8
102,Overlooked Ventures,$50,5/19/2021,2021,I,"Columbus, Ohio",
103,Ulu Ventures,$138,5/18/2021,2021,III,Bay Area,
104,Framework Ventures,$100,5/14/2021,2021,I,Bay Area,https://www.wsj.com/articles/crypto-venture-firm-framework-draws-institutional-support-11620990002?st=bzp0tw29d4ijwwh&reflink=article_copyURL_share
105,LDV Capital,$21,5/4/2021,2021,III,NYC,
106,Multicoin Capital,$100,5/4/2021,2021,II,"Austin, TX",
107,Banana Capital,$10,4/27/2021,2021,I,"Ann Arbor, MI",
108,Basis Set Ventures,$165,4/22/2021,2021,II,Bay Area,
109,BrandProject,$43,4/16/2021,2021,I,NYC,
110,Footwork,$175,4/15/2021,2021,I,Bay Area,https://nbt.substack.com/p/footwork
111,Harlem Capital,$134,3/31/2021,2021,II,NYC,
112,Starting Line,$30,4/12/2021,2021,II,Chicago,
113,MaC Venture Capital,$110,3/25/2021,2021,I,Los Angeles,https://macventurecapital.com/mac-venture-capital-raises-a-110m-inaugural-fund-to-invest-in-founders-building-the-future-we-want-to-see/
114,BBG Ventures,$50,3/24/2021,2021,III,NYC,https://www.forbes.com/sites/elizahaverstock/2021/03/24/bbg-ventures-closes-50-million-early-stage-fund-for-female-founders/?sh=30c974b67826
115,Bowery Capital,$70,3/22/2021,2021,III,"NYC, Bay Area",https://www.forbes.com/sites/rebeccaszkutak/2021/03/22/bowery-capital-sets-its-sights-on-san-francisco-with-a-fresh-70-million-fund-and-a-new-partner/?sh=5c51c617cdce
116,Village Global,$125,3/15/2021,2021,II,Bay Area,
117,Future Value Fund,$10,3/11/2021,2021,1,"Columbus, Ohio",https://www.rev1ventures.com/blog/rev1-ventures-launches-10mm-pre-seed-fund-with-osu-ohio-third-frontier/?utm_campaign=coschedule&utm_source=twitter&utm_medium=Rev1Ventures&utm_content=Rev1%20Ventures%20Launches%20$10MM%20Pre-Seed%20Fund%20with%20OSU%20and%20Ohio%20Third%20Frontier%20-%20Rev1%20Ventures
118,Savannah Fund,$35,3/10/2021,2021,II,"Kenya, South Africa, Tanzania",
119,Pioneer Square Labs,$100,3/4/2021,2021,II,"Seattle, Washington",
120,GSR Ventures,$180,3/4/2021,2021,I,Bay Area,
121,Founders' Co-Op,$50,3/1/2021,2021,V,"Seattle, Washington",
122,Silicon Road Ventures,$31,3/1/2021,2021,I,Atlanta,
123,Sequoia Capital Seed Fund,$195,2/26/2021,2021,IV,Bay Area,
124,Primary Venture Partners,$150,2/24/2021,2021,III,NYC,https://medium.com/thoughts-from-primary-venture-partners/longnyc-primary-announces-a-fresh-200mm-commitment-to-nyc-founders-e85d90a45ccf
125,Hustle Fund,$34,2/22/2021,2021,II,Bay Area,
126,Avid Ventures,$72,2/19/2021,2021,I,NYC,
127,Atelier Ventures,$13,2/16/2021,2021,I,USA,
128,Eniac Ventures,$125,2/9/2021,2021,V,NYC,
129,Construct Capital,$140,2/8/2021,2021,I,Washington D.C.,
130,Frontline Ventures,$84,2/5/2021,2021,I,"Dublin, Ireland and London",
131,Halogen Ventures,$21,2/3/2021,2021,II,Los Angeles,https://dot.la/halogen-ventures-2650282655.html
132,Scribble Ventures,$43,2/4/2021,2021,I,Bay Area,https://www.forbes.com/sites/alexkonrad/2021/02/04/twitter-alum-elizabeth-weils-vc-firm-debuts-with-42-million-to-bring-back-old-venture-collaboration/?sh=28c7d14c2a96
133,Softbank Miami Fund,$100,1/25/2021,2021,I,"Miami, Florida",
134,Kindred Ventures,$100,2/1/2021,2021,II,Bay Area,
135,NextView,$100,1/27/2021,2021,IV,"Boston, NYC",
136,ISAI,$175,1/24/2021,2021,II,France,https://techcrunch.com/2018/07/04/isai-closes-new-175-million-fund/
137,Ludlow Ventures,$60,1/22/2021,2021,IV,"Detroit, Michigan",
138,Define Ventures,$87,1/13/2021,2021,I,Bay Area,
139,Haystack Ventures,$50,2/2/2020,2020,V,Bay Area,https://twitter.com/semil/status/1224026347602755584
140,Overton Venture Capital,$9,12/31/2020,2020,I,NYC,
141,XYZ Venture Capital,$80,12/15/2020,2020,II,Bay Area,https://news.crunchbase.com/news/xyz-venture-capital-unveils-80m-second-fund/
142,Ada Ventures,$50,12/8/2020,2020,I,UK,
143,Bling Capital,$113,12/3/2020,2020,II,San Francisco,
144,Union Labs,$29,11/30/2020,2020,I,Bay Area,https://techcrunch.com/2020/11/30/union-labs-believes-uniting-vc-and-corporate-expertise-can-help-startups-solve-hard-tech-problems/
145,Seedcamp,$103,10/11/2020,2020,V,UK,
146,Oceans Ventures,$11,11/3/2020,2020,I,NYC,
147,645 Ventures,$160,10/28/2020,2020,III,NYC,
148,Impact America Fund,$55,10/272020,2020,II,,
149,Bullpen Capital,$130,10/1/2020,2020,V,Bay Area,
150,Conductive Ventures,$150,9/14/2020,2020,II,Bay Area,
151,Point Nine Capital,$117,9/22/2020,2020,V,Germany,
152,Mantis,$35,9/15/2020,2020,I,,https://techcrunch.com/2020/09/15/the-chainsmokers-just-closed-their-debut-venture-fund-mantis-with-35-million/?tpcc=ECTW2020
153,Xfund,$120,9/4/2020,2020,III,"Bosto, Bay Area",https://www.seas.harvard.edu/news/2020/09/xfund-celebrates-launch-new-fund
154,La Famiglia,$59,8/12/2020,2020,II,"Berlin, Germany",https://techcrunch.com/2020/08/11/la-famiglia/
155,Better Tomorrow Ventures,$75,8/12/2020,2020,I,Bay Area,https://twitter.com/pitdesi/status/1293926698681954305
156,Electric Capital,$110,8/3/2020,2020,II,Bay Area,crypto focused
157,Notation Capital,$42,7/30/2020,2020,III,NYC,https://medium.com/notation-capital/notation-iii-notation-moonlight-e31f5332c8d8
158,20VC Fund,$8,7/17/2020,2020,I,UK,
159,Coelius Capital,$45,7/15/2020,2020,I,Bay Area,https://www.wsj.com/articles/coelius-capital-founder-is-latest-angellist-investor-to-graduate-to-vc-fund-11594805402
160,Concrete Rose Capital,$15,7/10/2020,2020,I,Bay Area,https://www.bloomberg.com/news/articles/2020-07-07/investing-in-vc-funds-for-diverse-founders-is-getting-competitive?sref=iFePAYMn
161,Rethink Impact,$182,7/9/2020,2020,II,"NYC, DC, Bay Area",https://www.nytimes.com/2020/07/09/business/dealbook/venture-capital-women.html
162,Engineering Capital,$60,7/8/2020,2020,III,Bay Area,https://techcrunch.com/2020/07/08/this-vc-just-closed-on-60-million-to-fund-technical-risk-saying-other-vcs-rarely-do-the-same/
163,Victress Capital,$22,7/7/2020,2020,II,"Boston, MA",https://medium.com/@VictressCapital/announcing-victress-capital-fund-ii-a-women-led-vc-fund-focused-on-investing-in-early-stage-c448bc643193
164,Tech Square Ventures,$25,7/3/2020,2020,II,"Atlanta, GA",https://www.bizjournals.com/atlanta/news/2020/07/03/tech-square-ventures-second-investment-fund.html
165,Lightship Capital,$22,6/26/2020,2020,I,"Cincinnati, Ohio",https://www.wsj.com/articles/lightship-capital-launches-fund-for-underrepresented-founders-in-the-midwest-11593165601
166,Hoxton Ventures,$99,6/18/2020,2020,II,"London, UK",
167,Fly Ventures,$59,6/18/2020,2020,II,"Berlin, Germany",https://techcrunch.com/2020/06/17/fly-ventures-ii/
168,Pale Blue Dot,$63,6/16/2020,2020,I,Sweden,https://techcrunch.com/2020/06/16/pale-blue-dot/
169,Founder Collective,$75,5/21/2020,2020,IV,"Boston, NYC","previous fund was $75M, so assumption is that it is a similar size https://medium.com/@foundercollective/announcing-founder-collective-iv-77f31095482d"
170,Kickstart,$110,5/1/2020,2020,V,Utah,https://techcrunch.com/2020/04/29/utah-based-seed-fund-kickstart-closes-fifth-fund-worth-110m/
171,TheFund,$9,5/1/2020,2020,II,"NYC, LA, London",https://techcrunch.com/2020/04/30/the-fund-la-london/
172,BoostVC,$40,4/21/2020,2020,IV,Bay Area,https://techcrunch.com/2020/04/21/boostvc-closes-40m-fund-as-revamped-sci-fi-accelerator-preps-for-digital-demo-day/
173,Corigin Ventures,$36,4/14/2020,2020,I,NYC,https://techcrunch.com/2020/04/14/corigin-ventures-raises-36m-debut-fund-to-invest-in-startups-that-help-with-99-of-daily-life/
174,Zetta Ventures,$180,4/14/2020,2020,III,Bay Area,https://www-bloomberg-com.cdn.ampproject.org/c/s/www.bloomberg.com/amp/news/articles/2020-04-14/zetta-venture-partners-clears-pandemic-hurdles-for-biggest-fund
175,TheVentureCity,$75,4/1/2020,2020,II,"Miami, Madrid",
176,Coeffecient Capital,$170,4/2/2020,2020,I,NYC,https://www.bevnet.com/news/2020/new-fund-coefficient-capital-to-back-omnichannel-businesses
177,Shrug Capital,$15,3/11/2020,2020,II,Bay Area,https://twitter.com/ShrugCap/status/1237441346148786176
178,Equal Ventures,$56,2/11/2020,2020,I,NYC,https://techcrunch.com/2020/02/11/equal-ventures-raises-debut-56m-fund-to-double-down-on-thesis-driven-seed/
179,TLV Ventures,$150,2/9/2020,2020,III,Israel,https://nocamels.com/2020/02/venture-capital-firm-israel-tlv-partners-fund/
180,Royal Street Ventures,$20,1/1/2020,2020,III,"Kansas City, Missouri",
181,Union Square Ventures,$190,1/2/2019,2019,V,NYC ,https://techcrunch.com/2019/01/02/union-square-ventures-secures-429m-across-two-new-funds/
182,Plexo Capital,$43,12/5/2019,2019,I,Bay Area,https://techcrunch.com/2019/12/05/gv-spinout-plexo-capital-closes-42-5-million-fund/
183,Tusk Ventures,$70,12/18/2019,2019,II,NYC,
184,Moxxie Ventures,$25,12/18/2019,2019,I,SF,https://medium.com/@KatieS/introducing-moxxie-ventures-8e4a73bb6477
185,Aleph,$200,12/17/2019,2019,III,Israel,
186,Harlem Capital,$40,12/2/2019,2019,I,NYC,https://medium.com/@harlemcapitalpartners/harlem-capital-closes-40mm-inaugural-fund-6cb754600330
187,House Fund,$44,11/18/2019,2019,II,Bay Area,https://techcrunch.com/2019/11/18/the-house-fund-closes-its-second-fund-with-44-million-to-pour-into-uc-berkeley-grads-alums-and-faculty/
188,Kindred Ventures,$56,11/18/2019,2019,I,Bay Area,https://twitter.com/km/status/1196505067899064321
189,Motivate Ventures,$43,11/15/2019,2019,I,Chicago,https://motivate.vc/
190,BoldStart Ventures,$112,11/14/2019,2019,IV,NYC,https://pitchbook.com/newsletter/boldstart-ventures-snags-157m-across-two-funds
191,BoldStart Ventures Opportunity Fund,$45,11/14/2019,2019,I,NYC,
192,ScaleX Ventures,$20,11/6/2019,2019,I,Turkey,
193,Chingona Ventures,$6,10/15/2019,2019,I,Chicago,
194,Refactor Capital,$30,10/21/2019,2019,II,Bay Area,
195,Rise of the Rest,$150,10/28/2019,2019,II,Washington DC,https://www.forbes.com/sites/alexkonrad/2019/10/28/steve-case-launches-second-rise-of-rest-fund-at-under-30-summit/#5fc397fd6632
196,Base10 Partners,$180,10/21/2019,2019,II,Bay Area,https://www.pehub.com/vc-journal/emerging-manager-base10-quickly-raises-sophomore-fund/
197,Bloomberg Beta,$75,10/1/2019,2019,III,"NYC, Bay Area",
198,Indicator Ventures,$25,9/30/2019,2019,II,"NYC, Boston",
199,Remagine Ventures,$35,9/17/2019,2019,I,UK,https://techcrunch.com/2019/09/17/remagine-secures-35m-fund-backed-by-media-giants-to-focus-on-entertainment-and-media-tech/
200,F2 Venture Capital,$75,9/1/2019,2019,II,Israel,
201,Cleo Capital,$4,8/19/2019,2019,I,Bay Area,https://www.marieclaire.com/career-advice/a28713005/sarah-kunst-cleo-capital-fund/
202,Uncork Capital,$200,8/19/2019,2019,VI,Bay Area,https://techcrunch.com/2019/08/19/uncork-uncorks-two-new-funds/
203,YL Ventures,$120,7/10/2019,2019,IV,Israel,
204,Haystack Ventures,$50,7/5/2019,2019,V,Bay Area,https://news.crunchbase.com/news/sec-filing-haystack-ventures-closed-50-million-for-oversubscribed-fifth-flagship-fund/
205,Fifty Years,$50,7/1/2019,2019,II,Bay Area,https://www.wsj.com/articles/fifty-years-raises-second-fund-focused-on-biotech-startups-11562007704?emailToken=72d9e0eda1281af90f956c5a3070266bVAI1USypz/h7ZsnPwJlJqtaB3urT83%2B9NlhAIcLzde8SQNDkCmUnbBqPd7a%2BVUvPxQYLilJ4Lm8hTz4qKbN%2B2haASh7mCcoowBqynXI640i23DEI5JVAh//JTB4jr2XA
206,Susa Ventures,$90,7/1/2019,2019,III,Bay Area,https://techcrunch.com/2019/07/01/susa-ventures-a-young-vc-firm-with-some-high-flying-bets-just-closed-on-140-million-in-new-capital/
207,XFactor Ventures,$9,5/31/2019,2019,II,NYC,
208,Maveron,$194,5/29/2019,2019,VII,"Seattle, Bay Area",
209,Ludlow Ventures,$45,3/21/2019,2019,III,"Detroit, Michigan",
210,Plexo Capital,$35,3/12/2019,2019,I,Bay Area,
211,Precursor Ventures,$31,2/28/2019,2019,II,Bay Area,
212,ATX Seed Ventrues,$32,2/28/2019,2019,II,"Austin, Texas",
213,Human Ventures,$50,2/28/2019,2019,I,NYC,
214,Sorenson Capital Ventues,$110,2/28/2019,2019,I,Utah,
215,Blossom Capial,$85,2/26/2019,2019,I,"London, UK",
216,Boulder Food Group,$103,2/27/2019,2019,II,"Boulder, Colorado",
217,iNovia Capital,$200,2/19/2019,2019,V,"Montreal, Toronto, Bay Area, London",https://blog.inovia.vc/crafting-our-own-venture-model-as-a-full-stack-venture-firm-82325888a496
218,Partech Africa Fund,$143,1/31/2019,2019,I,"Paris, Bay Area, Berlin, Nairobi",
219,Active Capital,$22,2/1/2019,2019,I,"San Antonio, Texas",https://therivardreport.com/local-vc-firm-active-capital-announces-debut-fund-of-20-million/
220,Ubiquity Ventures,$30,1/23/2019,2019,I,Bay Are,
221,BlueRun Ventures ,$130,1/17/2019,2019,VI,Bay Area,
222,BlueYard Capital,$127,1/15/2019,2019,II,"Berlin, Germany",
223,Resolute Ventures,$75,1/16/2019,2019,IV,"Boston, Bay Area",
224,Providence Ventures,$150,1/9/2019,2019,II,"Seattle, Bay Area",
225,Motley Fool Ventures,$146,1/9/2019,2019,I,"Virginia, USA",http://www.finsmes.com/2019/01/motley-fool-closes-first-venture-capital-fund-at-145-73m.html
226,Aspect Ventures,$181,1/23/2018,2018,II,Bay Area,
227,Heron Rock Fund,$25,12/3/2018,2018,II,"Ontario, Canada",
228,Zigg Capital,$108,12/20/2018,2018,I,NYC,
